,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,weather,wind,visibility
0,stations,{'all': 18},200.0,"{'lon': -134.97, 'lat': -23.12}",1563235491.0,4030556.0,"{'temp': 22.91, 'pressure': 1013.06, 'humidity': 80, 'temp_min': 22.91, 'temp_max': 22.91, 'sea_level': 1013.06, 'grnd_level': 1013}",Rikitea,{'3h': 2.687},"{'message': 0.0065, 'country': 'PF', 'sunrise': 1563205227, 'sunset': 1563244249}",-32400.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 6.29, 'deg': 326.821}",
1,stations,{'all': 75},200.0,"{'lon': -169.92, 'lat': -19.06}",1563235497.0,4036284.0,"{'temp': 27, 'pressure': 1014, 'humidity': 74, 'temp_min': 27, 'temp_max': 27}",Alofi,,"{'type': 1, 'id': 7306, 'message': 0.0084, 'country': 'NU', 'sunrise': 1563213175, 'sunset': 1563253078}",-39600.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.1, 'deg': 80}",10000.0
2,stations,{'all': 75},200.0,"{'lon': 147.06, 'lat': -42.78}",1563235503.0,2155415.0,"{'temp': 12.15, 'pressure': 1009, 'humidity': 58, 'temp_min': 11.11, 'temp_max': 13}",New Norfolk,,"{'type': 1, 'id': 9545, 'message': 0.0066, 'country': 'AU', 'sunrise': 1563226664, 'sunset': 1563260240}",36000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 240}",10000.0
3,stations,{'all': 93},200.0,"{'lon': 149.07, 'lat': -23.58}",1563235497.0,2175403.0,"{'temp': 13.21, 'pressure': 1022.21, 'humidity': 50, 'temp_min': 13.21, 'temp_max': 13.21, 'sea_level': 1022.21, 'grnd_level': 1001.27}",Bluff,,"{'message': 0.0085, 'country': 'AU', 'sunrise': 1563223506, 'sunset': 1563262433}",36000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.04, 'deg': 154.269}",
4,stations,{'all': 75},200.0,"{'lon': 57.7, 'lat': -20.41}",1563235509.0,934322.0,"{'temp': 21.53, 'pressure': 1026, 'humidity': 60, 'temp_min': 21.11, 'temp_max': 22}",Mahebourg,,"{'type': 1, 'id': 2061, 'message': 0.0076, 'country': 'MU', 'sunrise': 1563245085, 'sunset': 1563284714}",14400.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.7, 'deg': 140}",10000.0
5,stations,{'all': 94},200.0,"{'lon': 102.47, 'lat': 71.98}",1563235501.0,2022572.0,"{'temp': 16.51, 'pressure': 1012, 'humidity': 56, 'temp_min': 16.51, 'temp_max': 16.51, 'sea_level': 1012, 'grnd_level': 1008.29}",Khatanga,,"{'message': 0.0053, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 2.68, 'deg': 121.421}",
6,stations,{'all': 45},200.0,"{'lon': 3.32, 'lat': 14.35}",1563235869.0,2444995.0,"{'temp': 33.41, 'pressure': 1008.03, 'humidity': 39, 'temp_min': 33.41, 'temp_max': 33.41, 'sea_level': 1008.03, 'grnd_level': 976.73}",Filingue,,"{'message': 0.0081, 'country': 'NE', 'sunrise': 1563254748, 'sunset': 1563301156}",3600.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 7.59, 'deg': 189.786}",
7,stations,{'all': 90},200.0,"{'lon': -97.86, 'lat': 55.74}",1563235351.0,6165406.0,"{'temp': 17, 'pressure': 1005, 'humidity': 88, 'temp_min': 17, 'temp_max': 17}",Thompson,,"{'type': 1, 'id': 935, 'message': 0.0066, 'country': 'CA', 'sunrise': 1563185265, 'sunset': 1563246396}",-18000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 2.6, 'deg': 20}",24140.0
8,stations,{'all': 75},200.0,"{'lon': 15.63, 'lat': 78.22}",1563235508.0,2729907.0,"{'temp': 7, 'pressure': 1018, 'humidity': 81, 'temp_min': 7, 'temp_max': 7}",Longyearbyen,,"{'type': 1, 'id': 1663, 'message': 0.0072, 'country': 'NO', 'sunrise': 0, 'sunset': 0}",7200.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]","{'speed': 2.1, 'deg': 270}",10000.0
9,stations,{'all': 0},200.0,"{'lon': 139.92, 'lat': 53.94}",1563235869.0,2019935.0,"{'temp': 22.11, 'pressure': 1008.97, 'humidity': 69, 'temp_min': 22.11, 'temp_max': 22.11, 'sea_level': 1008.97, 'grnd_level': 973.19}",Mnogovershinnyy,,"{'message': 0.0158, 'country': 'RU', 'sunrise': 1563215281, 'sunset': 1563275050}",36000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 2.82, 'deg': 211.844}",
